Ano_Semestre,aluno_id,prova_1,prova_2,prova_3,prova_4,lista_1,lista_2,lista_3,lista_4,lista_5,lista_6,lista_7,lista_8,lista_9,media_lista,media_prova,media_geral,aprovado_ou_reprovado
44197,1,24,55,27,10,62,70,100,96,70,40,0,0,0,49,29,39,0
44197,2,34,70,20,0,62,97,85,100,100,60,0,0,0,56,31,44,0
44197,3,10,0,5,7,72,33,0,0,0,15,70,90,70,39,6,22,0
44197,4,68,90,12,15,87,62,85,97,100,55,0,0,0,54,46,50,0
44197,5,85,75,70,95,72,100,80,100,100,90,100,85,100,92,81,87,1
44197,6,40,70,35,65,45,97,85,90,100,95,80,77,100,85,53,69,1
44197,7,68,65,34,0,77,92,100,98,100,16,0,100,0,65,42,53,0
44197,8,80,98,75,87,87,100,100,99,100,100,100,100,100,98,85,92,1
44593,9,100,100,65,90,100,100,100,100,92,100,100,100,100,99,89,94,1
44593,10,58,55,10,44,95,100,64,84,80,73,97,0,90,76,42,59,0
44593,11,47,40,47,66,82,100,90,93,98,98,100,100,100,96,50,73,1
44593,12,65,60,73,80,94,70,88,81,96,78,85,97,100,88,70,79,1
44593,13,53,68,48,20,0,25,97,35,42,44,40,0,70,39,47,43,0
44593,14,75,60,30,58,97,100,73,84,84,88,95,100,70,88,56,72,1
44593,15,10,45,5,35,88,70,98,62,30,98,60,0,0,56,24,40,0
44593,16,20,47,33,58,80,95,72,68,98,86,90,0,100,77,40,58,0
44593,17,51,95,52,90,93,70,65,62,87,71,95,100,90,81,72,77,1
44593,18,47,75,62,78,77,95,94,94,90,80,95,100,100,92,66,79,1
44593,19,60,78,39,35,44,70,74,88,87,81,78,100,90,79,53,66,1
44593,20,90,95,0,0,100,100,100,100,98,97,0,0,0,66,46,56,0
44593,21,25,50,41,68,100,95,100,100,59,0,0,100,100,73,46,59,0
44593,22,100,60,37,95,100,100,97,96,0,93,100,100,100,87,73,80,1
44593,23,100,60,63,78,100,95,98,93,97,94,100,0,72,83,75,79,1
44593,24,62,80,53,86,88,55,98,91,88,97,100,95,100,90,70,80,1
44593,25,60,80,58,82,88,0,57,92,94,98,100,95,100,80,70,75,1
44593,26,47,70,18,0,87,95,0,99,50,86,90,0,0,56,34,45,0
44593,27,62,70,20,71,54,75,77,93,95,76,100,95,50,79,56,68,1
44593,28,50,70,51,59,92,90,84,70,53,70,100,80,100,82,58,70,1
44593,29,70,60,66,76,0,70,95,85,92,82,80,100,100,78,68,73,1
44593,30,90,80,61,81,97,80,89,90,84,90,100,100,90,91,78,85,1
44958,31,78,85,42,47,90,100,100,60,100,100,95,90,0,82,63,72,1
44958,32,25,40,30,30,100,100,100,95,50,0,0,100,90,71,31,51,0
44958,33,43,72,55,47,90,95,100,0,0,0,80,80,56,56,54,55,0
44958,34,48,72,50,57,0,95,70,40,50,0,42,100,48,49,57,53,0
44958,35,10,90,70,72,0,90,0,0,100,90,100,90,100,63,61,62,1
44958,36,30,50,15,0,100,80,100,90,80,90,60,0,0,67,24,45,0
44958,37,65,87,30,60,100,100,85,100,100,95,80,80,90,92,61,76,1
44958,38,80,95,72,72,100,100,85,100,100,95,98,95,100,97,80,88,1
44958,39,38,84,22,0,100,100,100,100,0,100,28,0,0,59,36,47,0
44958,40,58,92,75,75,100,100,100,100,100,80,100,95,100,97,75,86,1
44958,41,40,77,60,55,100,100,100,100,100,70,95,90,90,94,58,76,1
44958,42,20,22,10,0,100,80,100,60,80,80,50,0,0,61,13,37,0
44958,43,50,85,57,58,90,100,100,100,100,70,80,90,100,92,63,77,1
44958,44,29,67,70,63,90,45,85,0,100,95,98,100,90,78,57,68,1
44958,45,39,27,7,27,100,90,70,0,0,60,48,0,0,41,25,33,0
44958,46,41,55,68,37,90,70,85,90,0,70,0,90,0,55,50,53,0
44958,47,71,82,70,85,90,100,100,100,95,90,95,100,95,96,77,87,1
44958,48,48,69,52,47,100,95,100,100,100,70,80,90,100,93,54,73,1
