Ano_Semestre,aluno_id,prova_1,prova_2,prova_3,prova_4,lista_1,lista_2,lista_3,lista_4,lista_5,lista_6,lista_7,lista_8,lista_9,media_lista,media_prova,media_geral,aprovado_ou_reprovado
2021.1,1,24,55,27,10,"62,5",70,100,96,70,40,0,0,0,"48,72",29,"38,86",Reprovado
2021.1,2,34,70,20,0,"62,5",97,85,100,100,60,0,0,0,"56,06",31,"43,53",Reprovado
2021.1,3,10,0,5,7,"72,5",33,0,0,0,15,70,90,70,"38,94","5,5","22,22",Reprovado
2021.1,4,68,90,12,15,"87,5","62,3",85,97,100,55,0,0,0,"54,09","46,25","50,17",Reprovado
2021.1,5,85,75,70,95,"72,5",100,80,100,100,90,100,85,100,"91,94","81,25","86,60",Aprovado
2021.1,6,40,70,35,65,45,97,85,90,100,95,80,77,100,"85,44","52,5","68,97",Aprovado
2021.1,7,68,65,34,0,"77,5",92,100,98,100,16,0,100,0,"64,83","41,75","53,29",Reprovado
2021.1,8,80,98,75,87,"87,5",100,100,99,100,100,100,100,100,"98,5",85,"91,75",Aprovado
2022.2,9,100,100,65,90,100,100,100,100,92,100,100,100,100,"99,11","88,75","93,93",Aprovado
2022.2,10,58,55,10,44,95,100,64,84,80,73,97,0,90,"75,89","41,75","58,82",Reprovado
2022.2,11,47,40,47,66,82,100,90,93,98,98,100,100,100,"95,67",50,"72,83",Aprovado
2022.2,12,65,60,73,80,94,70,88,81,96,78,85,97,100,"87,67","69,5","78,58",Aprovado
2022.2,13,53,68,48,20,0,25,97,35,42,44,40,0,70,"39,22","47,25","43,24",Reprovado
2022.2,14,75,60,30,58,97,100,73,84,84,88,95,100,70,"87,89","55,75","71,82",Aprovado
2022.2,15,10,45,5,35,88,70,98,62,30,98,60,0,0,"56,22","23,75","39,99",Reprovado
2022.2,16,20,47,33,58,80,95,72,68,98,86,90,0,100,"76,56","39,5","58,03",Reprovado
2022.2,17,51,95,52,90,93,70,65,62,87,71,95,100,90,"81,44",72,"76,72",Aprovado
2022.2,18,47,75,62,78,77,95,94,94,90,80,95,100,100,"91,67","65,5","78,58",Aprovado
2022.2,19,60,78,39,35,44,70,74,88,87,81,78,100,90,"79,11",53,"66,06",Aprovado
2022.2,20,90,95,0,0,100,100,100,100,98,97,0,0,0,"66,11","46,25","56,18",Reprovado
2022.2,21,25,50,41,68,100,95,100,100,59,0,0,100,100,"72,67",46,"59,33",Reprovado
2022.2,22,100,60,37,95,100,100,97,96,0,93,100,100,100,"87,33",73,"80,17",Aprovado
2022.2,23,100,60,63,78,100,95,98,93,97,94,100,0,72,"83,22","75,25","79,24",Aprovado
2022.2,24,62,80,53,86,88,55,98,91,88,97,100,95,100,"90,22","70,25","80,24",Aprovado
2022.2,25,60,80,58,82,88,0,57,92,94,98,100,95,100,"80,44",70,"75,22",Aprovado
2022.2,26,47,70,18,0,87,95,0,99,50,86,90,0,0,"56,33","33,75","45,04",Reprovado
2022.2,27,62,70,20,71,54,75,77,93,95,76,100,95,50,"79,44","55,75","67,60",Aprovado
2022.2,28,50,70,51,59,92,90,84,70,53,70,100,80,100,"82,11","57,5","69,81",Aprovado
2022.2,29,70,60,66,76,0,70,95,85,92,82,80,100,100,"78,22",68,"73,11",Aprovado
2022.2,30,90,80,61,81,97,80,89,90,84,90,100,100,90,"91,11",78,"84,56",Aprovado
2023.2,31,78,85,42,47,90,100,100,60,100,100,95,90,0,"81,67",63,"72,33",Aprovado
