Cálculo 1,,,,,,26 de ago.,02 de set.,14 de set.,30 de set.,07 de out.,02 de nov.,06 de nov.,28 de nov.,09 de dez.,,,
,Média do Aluno,prova 1,prova 2,prova 3,prova 4,lista 1,lista 2,lista 3,lista 4,lista 5,lista 6,lista 7,lista 8,lista 9,,,
,,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
,,,,,,,,,,,,,,,,,
Média da turma,"76,39%","45,24","65,24","63,95","62,97","86,84","93,79","72,36","91,87","89,73","74,36","82,98","78,47","85,2",médio de lista,médio prova,ab2
1,"74,13%",50,78,85,80,90,98,58,95,"96,5",10,,74,75,"39,75","82,5","73,95"
2,"83,35%",52,70,65,70,98,92,97,97,"92,5","99,5","54,5",98,98,"87,5","67,5","71,5"
3,"69,8%",45,92,88,95,,,,43,"82,5","7,5",75,70,100,"63,125","91,5","85,825"
4,"59,05%",80,82,83,90,"34,5",70,,,,8,81,39,23,"37,75","86,5","76,75"
5,"68,36%",,,35,25,99,98,,,,"71,5",83,67,,"55,375",30,"35,075"
6,"62,0%",40,28,25,15,100,100,,,,98,90,,,47,20,"25,4"
7,"45,0%",10,,,,,80,,,,,,,,0,0,0
8,"92,5%",,,,,85,100,,,,,,,,0,0,0
9,"85,08%",80,42,81,70,90,,82,100,"97,5","84,5",97,97,100,"94,625","75,5","79,325"
10,"79,17%",50,58,68,75,98,90,98,85,95,,73,70,90,"58,25","71,5","68,85"
11,"69,5%",42,44,70,75,,,,,,78,65,87,95,"81,25","72,5","74,25"
12,"32,81%",34,30,45,10,60,,50,,"24,5",9,,,,"2,25","27,5","22,45"
13,"86,6%",65,83,65,90,98,96,88,98,90,,,93,,"23,25","77,5","66,65"
14,"98,0%",,,,,98,,,,,,,,,0,0,0
15,"49,0%",0,,,,,98,,,,,,,,0,0,0
16,"80,72%",50,67,76,60,"83,5",100,60,99,100,"87,8",83,85,98,"88,45",68,"72,09"
17,"68,75%",25,,,,90,92,68,,,,,,,0,0,0
18,"80,73%",90,75,88,88,100,85,100,91,"97,5",9,95,46,85,"58,75",88,"82,15"
19,"72,09%",32,75,65,42,,,48,89,"83,5",93,"97,5",88,80,"89,625","53,5","60,725"
20,"83,03%",40,80,80,58,100,100,"57,4",99,95,93,98,93,86,"92,5",69,"73,7"
21,"97,38%",90,98,87,100,100,100,100,95,100,100,100,100,96,99,"93,5","94,6"
22,,,,,,,,,,,,,,,0,0,0
23,"81,67%",44,65,83,85,79,89,,95,90,92,99,64,95,"87,5",84,"84,7"
24,"87,0%",60,57,85,51,100,100,91,97,100,100,100,90,100,"97,5",68,"73,9"
25,"69,15%",27,100,80,65,80,96,,75,"65,5",5,,98,,"25,75","72,5","63,15"
26,"87,42%",30,90,76,63,100,100,95,89,"97,5",99,98,99,100,99,"69,5","75,4"
27,"86,15%",56,80,68,35,98,100,99,96,100,98,100,100,90,97,"51,5","60,6"
28,"90,46%",77,82,90,90,80,100,95,98,"92,5",100,"76,5",97,98,"92,875",90,"90,575"
29,"83,15%",72,70,82,75,,,94,,95,96,"65,5",92,90,"85,875","78,5","79,975"
30,"58,49%",25,45,55,47,100,100,"67,4",90,"64,5",52,53,42,"19,5","41,625",51,"49,125"
31,"86,25%",77,55,73,88,95,100,70,96,100,90,,93,98,"70,25","80,5","78,45"
32,"100,0%",,,,,100,100,,100,,,,,,0,0,0
33,"78,83%",40,,75,69,84,92,62,100,86,75,85,99,79,"84,5",72,"74,5"
34,"8,0%",8,,,,,,,,,,,,,0,0,0
35,"56,57%",25,45,42,55,70,,,75,,84,,,,21,"48,5",43
36,"80,5%",67,80,50,72,88,100,65,91,"97,5",82,90,94,70,84,61,"65,6"
37,"60,78%",20,45,15,64,95,100,46,,,79,83,,,"40,5","39,5","39,7"
38,"65,02%",13,48,48,,81,100,"50,7",,"90,5",88,94,37,,"54,75",24,"30,15"
39,"55,5%",45,40,55,45,,38,42,84,91,96,21,30,79,"56,5",50,"51,3"
40,"55,67%",55,,,,27,85,,,,,,,,0,0,0
41,"74,76%",65,70,70,47,85,100,"68,4",99,"90,5",82,80,37,78,"69,25","58,5","60,65"
42,"66,5%",33,,,,,100,,,,,,,,0,0,0
43,"58,5%",15,33,48,45,30,,12,85,"89,5",88,"82,5",95,79,"86,125","46,5","54,425"
44,"5,0%",5,,,,,,,,,,,,,0,0,0
45,"70,77%",15,60,47,35,,98,46,,"98,5",99,95,92,93,"94,75",41,"51,75"
46,"79,4%",98,82,70,40,100,98,85,98,70,53,,,,"13,25",55,"46,65"
47,"92,5%",75,,,,100,100,95,,,,,,,0,0,0
48,"5,0%",5,,,,,,,,,,,,,0,0,0
49,"2,0%",,,2,,,,,,,,,,,0,1,"0,8"
50,"0,67%",0,0,2,,,,,,,,,,,0,1,"0,8"
51,"91,55%",85,100,91,98,,,99,97,100,100,75,70,92,"84,25","94,5","92,45"
52,"53,0%",25,,,,,82,52,,,,,,,0,0,0
53,"71,72%",50,65,55,18,100,89,,100,"98,5",70,,,,"17,5","36,5","32,7"
54,"95,31%",90,100,90,100,100,100,85,100,100,100,100,75,99,"93,5",95,"94,7"
55,,,,,,,,,,,,,,,0,0,0
56,"68,6%",40,65,,,84,92,62,,,,,,,0,0,0
