Cálculo 2,,,,,,26 de ago.,02 de set.,16 de set.,23 de set.,30 de set.,17 de out.,28 de out.,04 de nov.,25 de nov.,09 de dez.,,,
,,prova 1,prova 2,prova 3,prova 4,lista 1,lista 2 ,lista 3,lista 4,lista 5,lista 6,lista 7,lista 8,lista 9,lista 10,,,
Aluno ,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Média da turma,,"40,67","51,08","32,73","41,9","61,53","83,33","69,33","93,5","92,5","58,88","87,5","90,4","92,5","87,5",medio lista ,medio prova,ab2
1,"55,45%",24,55,27,10,"62,5",70,100,96,70,40,,,,,8,"18,5","16,4"
2,"62,85%",34,70,20,0,"62,5",97,85,100,100,60,,,,,12,10,"10,4"
3,"35,0%",35,,,,,,,,,,,,,,0,0,0
4,"41,14%",10,0,5,7,"72,5",33,,,,15,70,90,70,80,65,6,"17,8"
5,,,,,,,,,,,,,,,,0,0,0
6,"9,0%",4,,,,,,14,,,,,,,,0,0,0
7,"40,2%",16,0,,,45,,70,,70,,,,,,0,0,0
8,"72,5%",,,,,"72,5",,,,,,,,,,0,0,0
9,,,,,,,,,,,,,,,,0,0,0
10,"61,75%",56,,,,"67,5",,,,,,,,,,0,0,0
11,"67,18%",68,90,12,15,"87,5","62,3",85,97,100,55,,,,,11,"13,5",13
12,"88,75%",85,75,70,95,"72,5",100,80,100,100,90,100,85,100,90,93,"82,5","84,6"
13,"0,0%",0,,,,,,,,,,,,,,0,0,0
14,"14,92%",23,0,10,30,"12,5",,14,,,,,,,,0,20,16
15,,,,,,,,,,,,,,,,0,0,0
16,"76,36%",40,70,35,65,45,97,85,90,100,95,80,77,100,90,"88,4",50,"57,68"
17,"75,05%",68,65,34,,"77,5",92,100,98,100,16,,100,,,"23,2",17,"18,24"
18,"65,0%",65,,,,,,,,,,,,,,0,0,0
19,"69,14%",90,50,32,75,65,87,85,,,,,,,,0,"53,5","42,8"
20,"54,64%",24,40,40,35,"80,5",95,,68,,,,,,,0,"37,5",30
21,"94,04%",80,98,75,87,"87,5",100,100,99,100,100,100,100,100,90,98,81,"84,4"
22,"12,17%",10,,,,"12,5",,14,,,,,,,,0,0,0
