Cálculo 2 2023-2,,,,,,24 de nov.,12 de dez.,19 de dez.,26 de dez.,23 de jan.,30 de jan.,08 de fev.,16 de fev.,27 de fev.,07 de mar.,15 de mar.,22 de mar.,28 de mar.,,,
,,assuntos vamos revisar. ,nota extra -prova 1,ponto extra-prova 4,prova 3,lista 1,lista 2,lista 3,prova 1,lista 4,lista 5,prova 2,lista 6,lista 7,nota extra -prova 3,lista 8,lista 9,prova 4,,,
,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Média da turma,,,"4,69","4,55","41,61","94,8","83,43","83,76","39,19","86,76","87,67","51,65","79,71","69,83","5,83","91,39","85,15","48,04",medio lista,medio prova,ab2
1,"69,09%",,,,30,100,100,100,25,95,50,40,,,,100,90,30,"47,5",30,"33,5"
2,,,,,,,,,,,,,,,,,,,0,0,0
3,"49,2%",,,,38,,,49,54,,,70,,,,,,35,0,"36,5","29,2"
4,"60,67%",,,"2,5",55,90,95,100,43,,,72,,80,"7,5",80,56,47,54,51,"61,6"
5,"76,31%",,5,,42,90,100,100,78,60,100,85,100,95,,90,,47,"71,25","44,5","49,85"
6,"0,0%",,,,,,,,,,,0,,,,,,,0,0,0
7,"61,09%",,,,50,,95,70,48,40,50,72,,42,,100,48,57,"47,5","53,5","52,3"
8,,,,,,,,,,,,,,,,,,,0,0,0
9,"2,0%",,,,,,,,2,,,,,,,,,,0,0,0
10,"81,2%",,,,70,,90,,10,,100,90,90,100,,90,100,72,95,71,"75,8"
11,"69,5%",,,,15,100,80,100,30,90,80,50,90,60,,,,,"37,5","7,5","13,5"
12,"72,13%",,,5,30,100,100,85,65,100,100,87,95,80,5,80,90,60,"86,25",45,"63,25"
13,"40,0%",,,,,100,50,,10,,,0,,,,,,,0,0,0
14,"28,0%",,,,20,,,,29,,,35,,,,,,,0,10,8
15,"51,39%",,,5,42,80,70,70,79,,,45,,64,"7,5",,,,16,21,"32,5"
16,"39,71%",,,,35,,,,5,,,35,50,56,,90,,7,49,21,"26,6"
17,"33,75%",,,,8,,,,,,,,,32,,85,,10,"29,25",9,"13,05"
18,"58,5%",,,,25,,63,68,31,90,,74,,,,,,,0,"12,5",10
19,"52,5%",,,,60,90,70,,47,,,58,50,40,"7,5",,,50,"22,5",55,56
20,"75,28%",,5,5,72,100,100,85,80,100,100,95,95,98,"2,5",95,100,72,97,72,"84,5"
21,"67,45%",,"2,5",,22,100,100,100,38,100,,84,100,28,,,,,32,11,"15,2"
22,"74,38%",,5,5,75,100,100,100,58,100,100,92,80,100,5,95,100,75,"93,75",75,"88,75"
23,,,,,,,,,,,,,,,,,,,0,0,0
24,"54,6%",,,,40,,70,,33,,,50,,80,,,,,20,20,20
25,"77,46%",,,,60,100,100,100,40,100,100,77,70,95,"7,5",90,90,55,"86,25","57,5","70,75"
26,"60,2%",,,,10,100,80,100,20,60,80,22,80,50,,,,,"32,5",5,"10,5"
27,"58,75%",,,,15,100,,85,,,,35,,,,,,,0,"7,5",6
28,,,,,,,,,,,,,,,,,,,0,0,0
29,"44,21%",,,,10,100,95,"59,5",0,,,10,,35,,,,,"8,75",5,"5,75"
30,"68,44%",,5,5,57,90,100,100,50,100,100,85,70,80,5,90,100,58,85,"57,5",73
31,"63,13%",,5,5,70,90,45,85,29,,100,67,95,98,5,100,90,63,"95,75","66,5","82,35"
32,"58,55%",,,,67,,80,70,31,,,58,,80,"7,5",80,48,64,52,"65,5","70,3"
33,"50,88%",,,5,30,,,70,43,,,72,,60,,100,,27,40,"28,5","35,8"
34,"56,8%",,,,,,63,,54,90,60,17,,,,,,,0,0,0
35,"51,13%",,,,34,80,85,85,30,60,,15,,,,,,20,0,27,"21,6"
36,"52,0%",,,,7,100,90,70,39,,,27,60,48,,,,27,27,17,19
37,"53,08%",,,"2,5",79,,,70,67,,,40,,,,,,60,0,"69,5","58,1"
38,"34,75%",,,,15,100,,,10,,,14,,,,,,,0,"7,5",6
39,"44,0%",,,,,80,50,55,30,,,5,,,,,,,0,0,0
40,"69,6%",,,,68,90,70,85,41,90,,55,70,,,90,,37,40,"52,5",50
41,"56,67%",,,,,100,,,43,,,27,,,,,,,0,0,0
42,,,,,,,,,,,,,,,,,,,0,0,0
43,"74,25%",,5,5,70,90,100,100,71,100,95,82,90,95,5,100,95,85,95,"77,5",91
44,"66,63%",,5,5,52,100,95,100,48,100,100,69,70,80,5,90,100,47,85,"49,5","66,6"
