cálculo 2-2024-2,,04 de fev.,11 de fev.,13 de fev.,13 de fev.,21 de fev.,25 de fev.,27 de fev.,27 de fev.,18 de mar.,19 de mar.,20 de mar.,24 de mar.,28 de mar.,01 de abr.,01 de abr.,03 de abr.,08 de abr.,09 de abr.,10 de abr.,15 de abr.,24 de abr.,05 de mai.,05 de mai.,06 de mai.,08 de mai.,19 de mai.,27 de mai.,,,,
,,Q1,Q2,lista 1,Q3,lista 2,Q4,lista 3,Q5,Q6,prova 1,lista 4,lista 5,Q7,Q8,prova 2,Q9,Q10,lista 6,Q11,lista 7,Q12,lista 8,prova 3,Q12,Q13,lista9,prova 4,,,,
,,1,1,10,1,10,1,10,1,1,10,10,10,1,1,10,1,1,10,1,10,1,10,10,1,1,10,10,,,,
Média da turma,,"1,0","1,0","9,48","1,0","9,11","1,0","8,03","1,0","1,0","4,44","9,06","9,24","1,0","1,0","7,0","1,0","1,0","7,75","1,0","8,28","1,0","8,92","4,09","1,0","1,0","9,14","5,46",lista,extra nota,prova,ab2
1,"85,04%",,1,10,1,10,1,5,1,,9,,"9,5",,,9,,1,8,1,9,1,10,"4,7",1,1,"9,5",7,"9,125","0,5555555556","5,85","7,060555556"
2,"84,61%",1,1,"9,5",1,10,1,6,,1,"6,8",,9,,,"8,5",,1,"9,5",1,9,1,10,6,,,9,7,"9,375","0,4444444444","6,5","7,519444444"
3,"73,53%",1,,10,1,9,,8,,,3,"8,5","9,5",1,,8,1,,8,1,8,1,9,2,,,9,2,"8,5","0,4444444444",2,"3,744444444"
4,"78,7%",,1,10,1,"8,5",,10,,1,"1,6",10,"9,5",1,,8,,,"8,5",1,8,1,8,4,1,1,9,"5,5","8,375","0,6666666667","4,75","6,141666667"
5,"81,19%",1,,"9,5",,"8,5",1,9,,1,"9,3",7,"8,5",,,"8,5",,,8,,9,,9,"4,5",,1,"8,5","5,5","8,625","0,2222222222",5,"5,947222222"
6,"58,39%",,1,,,,,10,1,,"3,7","7,5",,,,"7,5",,,2,,,,,"3,5",,,,,"0,5",0,"1,75","1,5"
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
8,"86,92%",1,,10,1,10,1,8,1,1,8,,10,1,,"8,5",,1,8,,9,1,10,5,1,1,"9,5",7,"9,125","0,6666666667",6,"7,291666667"
9,"86,12%",,1,10,1,10,1,8,,1,"7,8",,10,,,8,,1,,,9,1,"9,5","6,2",,,9,"6,4","6,875","0,3333333333","6,3","6,748333333"
10,"76,04%",1,,10,1,"9,5",1,8,1,,"1,5","9,8",10,,,"8,2",,1,"8,5",1,8,1,"9,5",1,1,1,9,"3,7","8,75","0,5555555556","2,35","4,185555556"
11,"76,14%",,1,10,1,10,1,8,,1,"4,7","8,5","9,5",,,"8,5",,,"7,5",1,9,1,9,"3,5",1,,,"1,5","6,375","0,4444444444","2,5","3,719444444"
12,"82,38%",1,1,"8,5",1,"8,5",1,10,1,1,"5,8","9,5",9,1,1,9,1,1,7,1,9,1,"7,5",5,,1,8,8,"7,875","0,8888888889","6,5","7,663888889"
13,"65,19%",,1,"9,5",1,6,,,,,"3,2",,"8,5",1,,4,,,,1,,,,,,,,,0,"0,2222222222",0,"0,2222222222"
14,"71,95%",,1,10,1,,1,8,1,,"1,4","7,8",9,,1,"6,5",1,,,1,8,,10,3,1,,9,"4,2","6,75","0,4444444444","3,6","4,674444444"
15,"86,54%",,1,"9,5",,10,1,5,,1,"8,3",,"9,5",,,9,,1,"8,5",1,"9,5",,"9,5","7,4",1,1,9,"7,7","9,125","0,5555555556","7,55","8,420555556"
16,"79,63%",1,1,10,1,9,1,8,,1,"4,5","9,8","9,5",,,9,,1,7,,8,,10,"2,5",,,9,6,"8,5","0,2222222222","4,25","5,322222222"
17,"73,54%",1,1,10,1,"9,5",1,6,,,"4,9",,"9,5",1,1,8,,,6,,6,,"7,5","3,5",,1,"8,5",7,7,"0,3333333333","5,25","5,933333333"
18,"60,61%",,,8,,9,,6,,1,"0,7",8,9,1,,"2,5",,,,,,,,"4,5",,,,,0,"0,2222222222","2,25","2,022222222"
19,"77,25%",1,1,10,1,10,1,5,1,,"4,7","9,8",,,,"7,5",1,1,,1,"8,5",,9,"4,5",1,,,"6,2","4,375","0,4444444444","5,35","5,599444444"
20,"90,07%",1,1,10,1,10,1,10,1,1,"7,9","9,8","9,5",,,9,1,1,8,1,"9,5",1,"9,5",5,,1,"9,5","8,3","9,125","0,6666666667","6,65","7,811666667"
21,"69,39%",,,"9,5",,9,,8,,1,"2,4",10,"9,5",,,4,,,9,,5,,10,"3,2",,1,9,1,"8,25","0,2222222222","2,1","3,552222222"
22,"73,98%",1,,10,1,"9,5",,8,,,"6,2",,10,,,7,,,8,1,,,9,"3,5",,,,2,"4,25","0,1111111111","2,75","3,161111111"
23,"90,08%",1,,10,1,"9,5",1,10,1,1,"8,5",10,10,1,,"9,2",1,,,1,10,1,"9,5","4,5",,,"9,5","6,5","7,25","0,5555555556","5,5","6,405555556"
